created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Aug 18 03:42:25 +0000 2022;1560109838436184065;"bringing back their smiles because I need happy whale couple vibes on my tl before the finale.😌🐳  #extraordinaryattorneywoo  #parkeunbin #kangtaeoh #kdrama https://t.co/ivQIpqJx0z";0;0;1;7;en;1340007327064150016;1560109838436184065;kdgurl_tweets;https://twitter.com/kdgurl_tweets/status/1560109838436184065
Mon Aug 15 18:06:57 +0000 2022;1559240240912809984;"Trending now: Taecyeon 4.3 K + tweets of love &amp  appreciation for Actor Idol #2PM ⁦@taeccool⁩ star of top movie #Hansan &amp  upcoming #kdrama #Blind ! We ❤️ U #OkTaecyeon ! Keep the tweets coming! See you on the big screen &amp  tv!! 👏👏👏👏👏❤️👏👏👏👏👏 https://t.co/2zUFTYEHWH";0;0;4;15;en;286208037;1559240240912809984;audreyandray;https://twitter.com/audreyandray/status/1559240240912809984
Thu Aug 11 20:08:00 +0000 2022;1557821154580221952;"J'ai envie de me réveiller demain matin et que quelques choses d'incroyable se Produisent pour moi.  Alors je vais juste mettre tous mes Hashtags du moment et laisser mon tweets voyager  #GalaxyZFlip4 #vlogdaout #LenaSituations #GoodVibes #kdrama #fashiondesigner #BibleSumett";0;0;0;1;fr;1413036855201832964;1557821154580221952;Mrs_Bouadjie;https://twitter.com/Mrs_Bouadjie/status/1557821154580221952
Tue Aug 09 02:38:24 +0000 2022;1556832234996436993;"Ahora sí, ya confirmada la llegada de #LittleWomen a #Netflix. He leído muchos tweets y publicaciones que la venden como producción de Netflix, lo cual es erróneo, ya que el drama es de #tvN y se emitirá también por Netflix. #kdrama #kdramatwt #KimGoEun #NamJiHyun #ParkJiHu https://t.co/iC52xSjx7H";2;2;1;8;es;1403836705141108741;1556832234996436993;LosdramasconK;https://twitter.com/LosdramasconK/status/1556832234996436993
Sat Aug 06 04:52:49 +0000 2022;1555778898930966528;"They say tweets with photos get noticed. Anyway, here is Korean actress Bae Da Bin 😍🥰 (from the K-drama 'It's Beautiful Now'). #BaeDaBin #Korea #KDrama #ItSBeautifulNow #KBS #KBSWorld https://t.co/MivBfSNZGv";0;0;2;8;en;287748737;1555778898930966528;komaricteam;https://twitter.com/komaricteam/status/1555778898930966528
Wed Aug 03 19:56:40 +0000 2022;1554919196215185408;"video calls and dad jokes, window handholding, comforting chair hugs, and walking home dates…I love how they have their own beautiful unique love language.🥹❤️  #extraordinaryattorneywooep11 #extraordinaryattorneywoo #parkeunbin  • #kangtaeoh  #kdrama • #netflix https://t.co/ciOtRBFoNy";0;0;1;11;en;1340007327064150016;1554919196215185408;kdgurl_tweets;https://twitter.com/kdgurl_tweets/status/1554919196215185408
Tue Aug 02 21:38:25 +0000 2022;1554582416005558274;"*my new (short but sweet) vid*   youngwoo + junho ❤️🐳❤️  link: https://t.co/dBqwBAkNWE  #extraordinaryattorneywoo  #parkeunbin #kangtaeoh #kdrama https://t.co/0n9wzDxyK3";0;0;1;5;en;1340007327064150016;1554582416005558274;kdgurl_tweets;https://twitter.com/kdgurl_tweets/status/1554582416005558274
Tue Aug 02 01:34:12 +0000 2022;1554279363834548224;"• green flag ml characters •  ✅☺️💚  #extraordinaryattorneywoo  #encounter #hospitalplaylist #herprivatelife #kdrama https://t.co/OBhl0phtN4";0;0;1;2;en;1340007327064150016;1554279363834548224;kdgurl_tweets;https://twitter.com/kdgurl_tweets/status/1554279363834548224
Mon Aug 01 03:43:10 +0000 2022;1553949432978104320;"Trending now: #LEEJUNHO 4.6 K + tweets of love &amp  appreciation for ⁦@follow_leejunho⁩ #2PM #kpop #kdrama star &amp  humble, generous human being! Busy prepping for #BeforeMidnight_Beyond_Live &amp  #KingTheLand with #YoonA ! We appreciate you! #TheActorIsPresent #KoreanActors200 🎥 https://t.co/AemrDxEJbr";1;0;4;10;en;286208037;1553949432978104320;audreyandray;https://twitter.com/audreyandray/status/1553949432978104320
Thu Jul 28 20:00:00 +0000 2022;1552745710054912000;"yw:   “loving me is hard.”  jh:    “yes…it appears so.”  yw:  “but are you still going to?”                 jh:    “yes.”  🥹❤️  #extraordinaryattorneywooep10 #extraordinaryattorneywoo #parkeunbin  • #kangtaeoh  #kdrama • #netflix https://t.co/MPowYBEP9C";0;1;2;8;en;1340007327064150016;1552745710054912000;kdgurl_tweets;https://twitter.com/kdgurl_tweets/status/1552745710054912000
